postcode,latitude,longitude
AB21 7EA,57.197985,-2.176434
AB21 7EB,57.20237727,-2.18738964
AB21 7ED,57.20277797,-2.189741936
AB21 7EE,57.203588,-2.18850533
AB21 7EG,57.20513332,-2.194421757
AB21 7EH,57.20392158,-2.187894023
AB21 7EJ,57.2039536,-2.1904928
AB21 7EL,57.20441554,-2.187962743
AB21 7EN,57.20371641,-2.186932989
AB21 7EP,57.20535929,-2.187603395
AB21 7EQ,57.2123163,-2.190767711
AB21 7ER,57.21106901,-2.18988386
AB21 7ES,57.20983926,-2.189281582
AB21 7ET,57.21036912,-2.189367071
AB21 7EW,57.20520868,-2.186195689
AB21 7EX,57.21236412,-2.188847526
AB21 7EY,57.213773,-2.189798
AB21 7EZ,57.19799527,-2.186391
AB21 7FA,57.20434791,-2.18511548
AB21 7FB,57.20505639,-2.185913535
AB21 7FD,57.20515871,-2.18353053
AB21 7FE,57.20375475,-2.185311127
AB21 7FF,57.20313598,-2.184596316
AB21 7FG,57.20264251,-2.184196624
AB21 7FH,57.20367815,-2.18241422
AB21 7FJ,57.20346477,-2.180890432
AB21 7FL,57.20030329,-2.186667468
AB21 7FN,57.20114817,-2.186340729
AB21 7FP,57.20101304,-2.180464668
AB21 7FQ,57.20142091,-2.184140882
AB21 7FR,57.20190888,-2.182157222
AB21 7FS,57.20211066,-2.179278369
AB21 7FT,57.2029472,-2.17848797
AB21 7FU,57.20300358,-2.17673381
AB21 7FW,57.20217848,-2.175786462
AB21 7FX,57.20231106,-2.183566036
AB21 7FY,57.20128945,-2.18188936
AB21 7FZ,57.20260135,-2.175308494
AB21 7GA,57.1969444,-2.186170592
AB21 7GB,57.195444,-2.18608
AB21 7GD,57.19756962,-2.188573321
AB21 7GF,57.192815,-2.184247
AB21 7GH,57.213452,-2.187892117
AB21 7GJ,57.21249968,-2.188301888
AB21 7GL,57.20591075,-2.191231205
AB21 7GN,57.19618688,-2.18206282
AB21 7GQ,57.19872351,-2.191806332
AB21 7HF,57.21105203,-2.183179056
AB21 7HG,57.198686,-2.180387
AB21 7JJ,57.20868757,-2.178300513
AB21 7JL,57.20898166,-2.179940771
AB21 7JN,57.20742841,-2.179386947
AB21 7JP,57.20765915,-2.181341362
AB21 7JQ,57.20742524,-2.181588512
AB21 7JR,57.2071466,-2.181703013
AB21 7JS,57.2069129,-2.181801182
AB21 7JT,57.20664327,-2.181899172
AB21 7JU,57.2077684,-2.180332142
AB21 7JW,57.20824369,-2.180897284
AB21 7JX,57.20819956,-2.1803508
AB21 7JY,57.20800487,-2.178297217
AB21 7JZ,57.20859673,-2.179011886
AB21 7LA,57.21099292,-2.180579655
AB21 7LB,57.21015159,-2.178440017
AB21 7LD,57.21213578,-2.185602
AB21 7LE,57.21176269,-2.182487264
AB21 7LF,57.20342973,-2.173905553
AB21 7LG,57.2109551,-2.1818873
AB21 7LH,57.21026483,-2.180907185
AB21 7LJ,57.21035313,-2.181967108
AB21 7LL,57.21245975,-2.184957476
AB21 7LN,57.21032413,-2.1833741
AB21 7LP,57.20990264,-2.182891931
AB21 7LQ,57.209272,-2.183832
AB21 7LR,57.20890384,-2.184045758
AB21 7LS,57.20880379,-2.184889505
AB21 7LT,57.20906884,-2.181778686
AB21 7LU,57.20888863,-2.182158539
AB21 7LW,57.20477389,-2.176262271
AB21 7LX,57.21008563,-2.180591773
AB21 7LY,57.21018632,-2.179284462
AB21 7LZ,57.20943173,-2.179297353
AB21 7NA,57.20944281,-2.177824089
AB21 7NB,57.20886052,-2.176695622
AB21 7ND,57.20869801,-2.177274228
AB21 7NE,57.20905905,-2.176050968
AB21 7NF,57.20572651,-2.17595232
AB21 7NG,57.20437174,-2.176128
AB21 7NH,57.2075614,-2.174256073
AB21 7NJ,57.20852021,-2.175949077
AB21 7NP,57.20744352,-2.175050072
AB21 7NQ,57.20672308,-2.176337785
AB21 7NR,57.20738739,-2.176638915
AB21 7NS,57.20773663,-2.177418593
AB21 7NX,57.234409,-2.187884
AB21 7NY,57.227939,-2.170957
AB21 7PB,57.196572,-2.182743
AB21 7PE,57.24397199,-2.165530199
AB21 7PH,57.25003939,-2.162508131
AB21 7PP,57.260503,-2.176926
AB21 7PQ,57.25335422,-2.182030123
AB21 7PR,57.256957,-2.181219894
AB21 7PS,57.25068153,-2.191281023
AB21 7PU,57.248606,-2.175018
AB21 7PW,57.2558193,-2.172876
AB21 7PY,57.25559803,-2.195251339
AB21 7PZ,57.26069219,-2.200400651
AB21 7QQ,57.19981186,-2.190885191
AB21 7UU,57.23941856,-2.190245134
AB21 7XA,57.225777,-2.161656
AB21 7XB,57.23719184,-2.164406
AB21 7YS,57.19981186,-2.190885191
AB21 9AB,57.189905,-2.170814
AB21 9AD,57.177536,-2.170923179
AB21 9AE,57.17852307,-2.171654686
AB21 9AG,57.17780848,-2.168327
AB21 9AH,57.17933943,-2.172452428
AB21 9AJ,57.1788539,-2.172780973
AB21 9AL,57.17953523,-2.173776602
AB21 9AN,57.17830289,-2.174978245
AB21 9AP,57.177288,-2.17461
AB21 9AR,57.17849405,-2.173159718
AB21 9AS,57.17642552,-2.174919743
AB21 9AT,57.17786761,-2.177887227
AB21 9AU,57.17827773,-2.180055966
AB21 9AX,57.179997,-2.183654
AB21 9AY,57.17901827,-2.183533084
AB21 9BB,57.17977019,-2.185339771
AB21 9BD,57.17927605,-2.185386916
AB21 9BE,57.17842416,-2.184373689
AB21 9BG,57.17547777,-2.157681
AB21 9BH,57.1766626,-2.178659
AB21 9BJ,57.17630577,-2.177036209
AB21 9BL,57.1753406,-2.179843198
AB21 9BN,57.17591763,-2.178357482
AB21 9BP,57.17632981,-2.1790872
AB21 9BQ,57.17600307,-2.181417643
AB21 9BR,57.17540996,-2.181580122
AB21 9BS,57.17485431,-2.180684306
AB21 9BT,57.17460099,-2.18192346
AB21 9BU,57.17372803,-2.183027222
AB21 9BX,57.1749244,-2.181908512
AB21 9BY,57.17493932,-2.183992463
AB21 9DA,57.17384698,-2.181539371
AB21 9DB,57.17357675,-2.182050726
AB21 9DD,57.17464349,-2.183577526
AB21 9DE,57.17418288,-2.185262154
AB21 9DF,57.17446825,-2.186669356
AB21 9DG,57.17655574,-2.182264
AB21 9DH,57.17467266,-2.188142322
AB21 9DJ,57.17519768,-2.185449164
AB21 9DL,57.17540663,-2.183862476
AB21 9DN,57.17579391,-2.18316976
AB21 9DP,57.17636344,-2.18069168
AB21 9DQ,57.17709329,-2.179140517
AB21 9DR,57.17705065,-2.177535965
AB21 9DT,57.1775465,-2.169764607
AB21 9DU,57.178677,-2.170710484
AB21 9DX,57.18105185,-2.174858924
AB21 9DY,57.18217946,-2.177874891
AB21 9EA,57.18220781,-2.17688251
AB21 9EB,57.18309423,-2.179087
AB21 9ED,57.18358713,-2.179734432
AB21 9EE,57.18391907,-2.180033815
AB21 9EF,57.18246934,-2.17615591
AB21 9EG,57.18154195,-2.176531
AB21 9EH,57.18357966,-2.178675671
AB21 9EJ,57.18310477,-2.177829716
AB21 9EL,57.18344098,-2.181421057
AB21 9EN,57.184346,-2.182848
AB21 9EP,57.18457661,-2.184983378
AB21 9EQ,57.18407483,-2.184120642
AB21 9ER,57.18243035,-2.184526004
AB21 9ET,57.181302,-2.181626
AB21 9EU,57.18173326,-2.182074346
AB21 9EW,57.18359058,-2.183555783
AB21 9EX,57.18073324,-2.184070918
AB21 9EY,57.18098381,-2.184717281
AB21 9HA,57.18133895,-2.187415
AB21 9HB,57.17998167,-2.182016098
AB21 9HE,57.17976508,-2.169923662
AB21 9HH,57.17948533,-2.170369
AB21 9HJ,57.18665703,-2.181321034
AB21 9HN,57.18803294,-2.180268932
AB21 9HQ,57.183863,-2.181175
AB21 9HR,57.184196,-2.180763
AB21 9HS,57.18670953,-2.182280841
AB21 9HT,57.18565976,-2.181431946
AB21 9HU,57.18860644,-2.181247873
AB21 9HW,57.18822243,-2.179674249
AB21 9HX,57.18805643,-2.17653
AB21 9HY,57.18963254,-2.179830011
AB21 9HZ,57.18701758,-2.180462509
AB21 9JB,57.18996383,-2.180576167
AB21 9JD,57.190324,-2.179567995
AB21 9JE,57.19068017,-2.182168058
AB21 9JH,57.19089426,-2.183194956
AB21 9JJ,57.191223,-2.186158
AB21 9JL,57.19092559,-2.186322277
