IS_ENCLOSED,AGE_INDEX,EXTENSION_COUNT,FROM_MAIN_SYSTEM,HAS_TANK,FLAT_TOP_STOREY,FLOOR_U_VALUE,HOT_WATER_ENERGY_EFF,INTERNAL_GAINS,IS_DETACHED,IS_END,IS_MID,LOW_ENERGY_LIGHTING,MAIN_FUEL,MAINS_GAS_FLAG,MAIN_HEATING_CONTROLS,MAINHEAT_ENERGY_EFF,MECHANICAL_EXTRACT,PHOTO_SUPPLY,ROOF_ENERGY_EFF,ROOF_U_VALUE,SECONDHEAT_DESCRIPTION,TEMP_ADJUSTMENT,TOTAL_FLOOR_AREA,WALLS_ENERGY_EFF,WALL_THICKNESS,WALL_U_VALUE,WET_ROOMS,WAR,CURRENT_ENERGY_EFFICIENCY
0,9,0.0,1,1,0,0.2,3,36.7516603560078,0,1,0,100,0.216,1,0,3,0,0,-1,0,-1,0,66,3,300,0.35,2,0.8792606060606061,80
0,1,0.016260162601626018,1,1,0,2.3,3,29.806546819465826,0,0,1,6,0.216,1,0,3,0,1,0,2.3,-1,0,123,1,220,1.7,3,0.8221056910569106,70
0,3,0.011764705882352941,1,1,0,2.3,2,34.703085614371425,0,1,0,22,0.216,1,4,3,0,0,3,2.3,0.216,0,85,1,250,1.5,3,0.8057176470588235,49
0,3,0.0,1,1,0,2.3,3,32.088265889466676,0,0,1,30,0.216,1,2,3,0,0,0,2.3,-1,0.6,105,1,250,1.5,3,0.8180761904761905,60
0,10,0.0,0,0,1,0.22,3,36.94433181707388,1,0,0,100,0.216,0,10,3,0,0,3,0.2,-1,0,64,3,300,0.3,2,0.879075,80
0,7,0.0,1,1,0,0.35,3,39.49544607322499,0,0,0,67,0.216,1,0,3,0,0,-1,0,-1,0,41.8,3,270,0.6,1,0.8291306220095693,71
0,5,0.0,1,1,1,0.22,3,37.964570168538614,0,1,0,86,0.216,1,0,3,0,0,3,0.68,-1,0,53.38,3,260,0.4,2,0.8431011240164856,78
0,3,0.0,1,1,0,2.3,3,35.04580278032486,0,0,1,55,0.216,1,0,3,0,0,3,2.3,-1,0,82,3,250,0.7,3,0.8033439024390244,73
0,4,0.0,1,1,0,1.5,3,36.705716658247454,0,1,0,33,0.216,1,1,3,0,0,3,1.5,0.216,0,67,3,250,0.7,3,0.7666671641791045,69
0,1,0.018615040953090096,1,1,0,2.3,3,37.95922053307163,0,0,1,50,0.216,1,0,3,0,0,3,2.3,0.216,0,53.72,0,220,1.7,2,0.7500215934475055,62
0,5,0.0,1,1,0,0.68,2,36.00593572326367,0,1,0,0,0.216,1,4,3,0,0,1,0.68,-1,0,74,2,260,1,3,0.8002054054054054,55
0,7,0.009009009009009009,1,1,0,0.35,3,31.295846796071285,1,0,0,38,0.216,1,0,3,0,0,3,0.35,0.216,0,111,1,270,0.6,3,0.8463351351351351,52
0,5,0.0,1,1,0,0.68,3,36.6796954912269,0,1,0,67,0.216,1,4,3,0,0,1,0.68,-1,0,67,3,260,0.4,2,0.7924119402985075,63
0,1,0.009615384615384616,1,1,0,2.3,2,32.22064456409513,0,0,1,30,0.216,1,4,3,0,0,0,2.3,0.216,0,104,3,250,1.5,3,0.8118942307692307,52
0,5,0.0,1,1,0,0.68,3,37.891249714499274,0,1,0,100,0.216,1,0,3,0,0,-1,0,0.216,0,54,3,260,0.4,2,0.8435259259259259,73
0,0,0.00980392156862745,1,1,0,2.3,3,32.44964763683372,0,1,0,82,0.216,1,2,3,0,0,0,2.3,-1,0.6,102,0,220,1.7,3,0.8105980392156863,47
0,4,0.008560178051703476,1,1,0,1.5,1,30.544313533107097,1,0,0,47,0.216,1,1,3,0,0,4,1.5,0.216,0,116.82,3,250,0.7,3,0.8133367745249102,59
0,1,0.0,1,1,0,2.3,3,31.41264265407525,0,0,1,57,0.216,1,1,3,0,0,2,2.3,0.216,0,110,0,220,1.7,3,0.8155,57
0,2,0.012345679012345678,1,1,0,2.3,3,35.156437627235654,0,0,1,67,0.216,1,0,3,0,0,1,2.3,-1,0,81,3,250,0.7,2,0.7931234567901235,75
0,3,0.0,1,1,0,2.3,3,39.00537794932304,0,1,0,29,0.216,1,0,3,0,1,4,2.3,-1,0,45,3,250,0.35,1,0.7480444444444445,79
0,4,0.011363636363636364,1,1,0,1.5,3,34.26900862186135,0,0,1,100,0.216,1,0,3,0,0,3,1.5,-1,0,88,3,250,0.7,3,0.7927818181818183,72
0,2,0.011494252873563218,1,1,0,2.3,3,34.42823213732004,0,1,0,56,0.216,1,0,3,0,0,4,2.3,0.216,0,87,3,250,0.7,3,0.7989770114942529,67
0,1,0.014285714285714285,1,1,0,2.3,3,36.39067508299944,0,0,1,50,0.216,1,2,3,0,0,0,2.3,-1,0.6,70,0,220,1.7,2,0.7797857142857143,45
0,1,0.019230769230769232,1,1,0,2.3,2,38.148107088379746,0,0,1,33,0.216,1,2,3,1,0,0,2.3,0.216,0.6,52,0,220,1.7,2,0.7457884615384616,32
0,5,0.0,1,1,1,0.22,3,38.011805198489775,0,0,0,100,0.216,1,0,3,0,0,3,0.68,-1,0,52.8,3,260,0.4,1,0.8426946969696969,75
0,0,0.009009009009009009,1,1,0,2.3,3,31.299851118466904,0,0,1,32,0.216,1,0,3,0,0,3,2.3,-1,0,111,0,220,1.7,3,0.8160630630630631,61
0,1,0.028169014084507043,0,0,0,2.3,2,36.2926879302534,0,0,1,43,0.216,1,11,2,0,0,0,2.3,-1,0.3,71,0,220,1.7,2,0.7811690140845071,50
0,4,0.0,0,1,0,0.22,1,38.4930268780958,1,0,0,17,0.519,0,7,2,1,0,-1,0,-1,0.7,49,1,250,1.7,1,0.7944224489795919,67
0,7,0.0,1,1,0,0.35,3,37.58729330513249,0,1,0,0,0.216,1,1,3,0,0,3,0.35,-1,0,58,3,270,0.4,2,0.7925448275862069,71
0,5,0.0,1,1,0,0.68,3,37.77682522485763,0,1,0,0,0.216,1,0,3,0,0,3,0.68,-1,0,56,2,260,1,2,0.7762285714285715,68
0,3,0.028169014084507043,1,1,0,2.3,2,36.318091449500564,0,0,1,10,0.216,1,4,3,0,0,4,2.3,0.216,0,71,3,250,0.7,3,0.7929239436619718,61
0,8,0.0,0,0,0,0.22,3,38.54547436058921,0,0,1,100,0.216,1,6,3,0,0,-1,0,-1,0.3,48,1,300,0.45,1,0.8770333333333333,80
0,1,0.013333333333333334,1,1,0,2.3,3,35.85449954169644,0,0,1,55,0.216,1,2,3,0,0,3,2.3,0.216,0.6,75,1,250,1.5,3,0.7863333333333333,55
0,5,0.0,1,1,0,0.68,2,36.265689020908574,0,1,0,78,0.216,1,4,3,0,0,3,0.68,-1,0,71,2,260,1,3,0.7970535211267605,56
0,2,0.009433962264150943,1,1,0,2.3,3,31.960901621194505,0,0,1,23,0.216,1,2,3,0,0,0,2.3,-1,0.6,106,1,250,1.5,3,0.8131415094339622,60
0,3,0.0,1,1,0,2.3,3,36.2693089401499,0,1,0,100,0.216,1,0,3,0,0,4,2.3,-1,0,70.8,1,250,1.5,2,0.7927045197740112,64
0,1,0.013333333333333334,1,1,0,2.3,3,35.896233159742906,0,0,1,0,0.216,1,4,3,0,0,4,2.3,0.216,0,75,0,220,1.7,2,0.7863333333333333,60
0,4,0.0,1,1,0,1.5,3,52.95085488556854,0,0,1,75,0.216,1,0,3,0,0,4,1.5,-1,0,19,3,250,0.35,3,0.4902052631578947,59
0,1,0.013157894736842105,1,1,1,0.22,3,35.76319488298594,0,1,0,29,0.216,1,1,3,0,0,0,2.3,-1,0,76,0,220,1.7,2,0.8464789473684211,63
0,6,0.0,1,1,0,0.4,3,38.60360094971668,0,0,1,29,0.216,1,0,3,0,0,-1,0,-1,0,48,3,270,0.6,1,0.854125,73
0,0,0.02857142857142857,1,1,0,2.3,3,36.38098668406562,0,1,0,62,0.216,1,4,3,0,0,3,2.3,-1,0,70,0,220,1.7,3,0.7797857142857143,48
0,4,0.0,1,1,0,1.5,3,36.8967628891256,1,0,0,38,0.216,1,0,3,0,0,4,1.5,-1,0,65,3,250,0.7,2,0.7633,66
0,4,0.023076923076923078,1,1,0,1.5,3,28.976873182837405,0,1,0,14,0.216,1,12,3,0,0,0,1.5,0.216,0,130,3,250,0.7,4,0.8197,69
0,8,0.0,0,1,0,0.22,2,37.696900591024516,0,1,0,100,0.519,0,7,2,0,0,-1,0,-1,0.7,56,3,300,0.21,2,0.8782,85
0,3,0.010526315789473684,1,1,0,2.3,3,33.43458881619229,0,1,0,0,0.216,1,1,3,0,0,2,2.3,-1,0,95,3,250,0.7,3,0.8125473684210527,61
0,1,0.0,1,1,0,2.3,3,37.77673978977561,0,0,1,100,0.216,1,4,3,0,0,0,2.3,-1,0,55.17,0,220,1.7,3,0.7533851731013231,50
0,8,0.0,1,1,0,0.35,3,32.63095326495483,1,0,0,12,0.216,1,4,3,0,0,3,0.35,-1,0,101,2,300,0.45,3,0.8620673267326733,60
