AGE_INDEX,ENERGY_TARIFF,EXTENSION_COUNT,FROM_MAIN_SYSTEM,HW_GAS,HAS_TANK,FLAT_TOP_STOREY,FLOOR_U_VALUE,HOT_WATER_ENERGY_EFF,INTERNAL_LIGHTING,INTERNAL_GAINS,IS_DETACHED,IS_END,IS_MID,LOW_ENERGY_LIGHTING,MAIN_FUEL,MAINS_GAS_FLAG,MAIN_HEATING_CONTROLS,MAINHEAT_ENERGY_EFF,MECHANICAL_EXTRACT,MECHANICAL_SUPPLY,NUMBER_HEATED_ROOMS,NUMBER_OPEN_FIREPLACES,PHOTO_SUPPLY,ROOF_ENERGY_EFF,ROOF_U_VALUE,SECONDHEAT_DESCRIPTION,TEMP_ADJUSTMENT,TOTAL_FLOOR_AREA,WALLS_ENERGY_EFF,WALL_THICKNESS,WALL_U_VALUE,WET_ROOMS,WINDOW_AREA,CURRENT_ENERGY_EFFICIENCY
2,0,0.012589701624071508,1,0,1,0,2.3,3,0.8527261484526811,35.341687856297334,0,1,0,67,0.216,1,0,3,0,0,5,0,0,4,2.3,0.216,0,79.43,3,250,0.7,3,16.56546,66
5,0,0.0,0,0,0,0,0.68,2,1.0278121648607281,36.90351096146029,0,0,0,67,0.216,1,4,3,0,0,3,0,0,-1,0,-1,0,64.7,3,260,0.4,2,9.73253,67
4,0,0.012054001928640309,1,0,1,0,1.5,1,0.8694900743123647,34.97040774999591,0,1,0,0,0.216,1,3,3,0,0,5,0,0,2,1.5,0.216,0.6,82.96,1,250,1.5,3,17.610744,51
1,0,0.025716857400025717,1,0,1,0,2.3,3,0.8667334383506056,35.5312466333666,0,0,1,70,0.216,1,2,3,0,0,4,0,0,2,2.3,0.216,0,77.77,0,220,1.7,2,16.362940000000002,56
0,0,0.0,1,0,1,0,2.3,3,0.7073004697025995,32.592425068741385,1,0,0,33,0.216,1,0,3,0,0,5,0,0,3,2.3,0.216,0,101.18,0,220,1.7,3,19.218960000000003,53
4,0,0.012170632264346132,1,0,1,0,1.5,3,0.868937424873689,35.05890563007544,1,0,0,11,0.216,1,0,3,0,0,4,0,0,3,1.5,-1,0,82.165,3,250,0.7,2,17.5122435,61
3,0,0.019896538002387585,1,0,1,0,2.3,3,1.3155931819972786,38.327868413175324,0,1,0,43,0.216,1,3,3,0,0,5,0,0,3,2.3,0.216,0.6,50.26,1,250,1.5,3,12.018643999999998,51
3,0,0.009723842862699339,1,0,1,0,2.3,3,0.6505520655042618,32.32561063952974,0,1,0,100,0.216,1,2,3,0,0,4,0,0,3,2.3,0.216,0,102.84,3,250,0.7,2,18.822495999999997,68
1,0,0.015964240102171137,1,0,1,0,2.3,3,1.0886719145409016,37.12958851614005,0,0,1,29,0.216,1,2,3,0,0,4,0,0,4,2.3,-1,0,62.64,0,220,1.7,2,14.51708,62
10,0,0.0,1,0,1,0,0.2,3,0.6267779281395031,31.773597305586552,0,1,0,100,0.216,1,0,3,1,0,7,0,0,3,0.2,-1,0,107.02,3,300,0.3,4,14.954369999999997,76
